GeneID	GGACP	GGACS	GGACT	GGACU	GGAXP	GGAXS	GGAXT	GGAXU	GGAXW	GGAXX	GGAXY	GGAXZ
gene_10028	0	0	0	38	22	13	5	24	29	5	21	26
gene_10029	0	0	0	38	21	13	2	17	16	9	10	25
gene_1003	0	0	0	12	3	2	3	3	15	2	2	4
gene_10030	0	0	0	8	1	0	0	0	3	1	0	1
gene_10031	0	0	0	0	0	0	0	0	0	0	0	0
gene_10032	0	0	0	2	1	1	1	3	0	2	3	3
gene_10033	0	0	0	0	0	0	0	0	0	0	0	0
gene_10034	0	0	0	0	0	0	0	0	0	0	0	0
gene_10035	0	0	0	1	1	0	0	1	1	0	5	1
gene_10036	0	0	0	111	59	44	23	48	82	29	30	68
gene_10037	0	0	0	4	4	2	1	5	10	6	3	4
gene_10038	0	0	0	19	20	16	6	19	20	7	12	21
gene_10039	0	0	0	103	38	40	18	44	68	32	25	40
gene_1004	0	0	0	37	12	11	20	23	38	20	17	40
gene_10040	0	0	0	4	0	4	0	1	0	1	1	1
gene_10041	0	0	0	1	1	0	0	0	1	0	2	0
gene_10042	0	0	0	0	0	0	0	0	0	1	1	0
gene_10043	0	0	0	0	0	0	0	0	0	0	0	0
gene_10044	0	0	0	3	0	1	0	0	0	0	0	1
gene_10045	0	0	0	233	143	114	73	122	215	201	118	227
gene_10046	0	0	0	12	10	9	4	1	13	8	3	6
gene_10047	0	0	0	0	0	0	0	0	0	1	0	0
gene_10048	0	0	0	31	12	17	3	19	18	18	2	15
gene_10049	0	0	0	0	2	0	0	0	1	0	0	2
gene_1005	1	0	0	22	27	14	8	13	18	18	8	21
gene_10050	4	0	0	137	68	29	45	353	114	117	263	484
gene_10051	0	0	0	0	2	3	0	0	1	0	0	0
gene_10052	0	0	0	5	14	0	6	5	18	16	9	22
gene_10053	0	0	0	6	6	10	2	1	4	0	6	0
gene_10054	0	0	0	0	0	0	0	0	0	0	0	0
gene_10055	0	0	0	0	0	0	0	0	0	0	0	0
gene_10056	0	0	0	3	1	1	7	18	1	10	9	12
gene_10057	0	0	0	45	24	17	3	18	35	8	17	17
gene_10058	0	0	0	17	13	9	3	13	27	10	5	12
gene_10059	0	0	0	0	0	1	2	0	0	0	0	0
gene_1006	0	0	0	32	27	16	10	16	20	11	8	20
gene_10060	0	0	0	24	18	15	6	15	31	16	19	25
gene_10061	0	0	0	8	7	3	5	46	9	7	4	13
gene_10062	0	0	0	80	57	52	58	47	121	41	41	85
gene_10063	0	0	0	0	0	0	0	0	0	0	0	0
gene_10064	0	0	0	1	0	0	0	2	1	0	1	8
gene_10065	0	0	0	194	96	44	52	58	118	70	55	115
gene_10066	0	0	0	0	1	2	0	0	2	1	0	2
gene_10067	0	0	0	0	0	0	0	0	1	0	0	0
gene_10068	0	0	0	68	25	24	15	20	35	22	19	27
gene_10069	0	0	0	9	9	6	0	11	9	4	3	2
gene_1007	0	0	0	7	9	5	8	11	16	7	4	16
gene_10070	0	0	0	3	4	0	0	0	0	0	1	1
gene_10071	0	0	0	7	6	6	2	12	22	12	9	21
gene_10072	1	0	0	126	80	43	23	41	75	48	23	56
gene_10073	0	0	0	11	1	0	2	1	2	1	0	3
gene_10074	0	0	0	0	0	0	0	0	0	0	1	0
gene_10075	0	0	0	280	139	93	46	80	128	85	71	151
gene_10076	0	0	0	266	129	73	43	47	104	56	55	110
gene_10077	0	0	0	37	27	10	12	16	18	14	8	18
gene_10078	0	0	0	16	4	3	4	3	9	2	9	1
gene_10079	0	0	0	4	7	12	3	8	6	8	4	8
gene_1008	0	0	0	0	0	0	1	0	0	0	0	0
gene_10080	0	0	0	0	0	0	0	0	0	0	0	0
gene_10081	0	0	0	9	2	6	0	0	8	2	5	7
gene_10082	0	0	0	98	23	9	15	41	5	8	27	32
gene_10083	0	0	0	74	47	26	25	29	86	35	31	66
gene_10084	0	0	0	0	0	0	0	0	0	0	0	0
gene_10085	0	0	0	1	2	0	0	0	0	0	1	1
gene_10086	0	0	0	0	0	0	0	0	0	0	0	0
gene_10087	0	0	0	0	0	0	0	0	0	0	0	0
gene_10088	0	0	0	0	0	0	0	0	0	0	0	0
gene_10089	0	0	0	3	0	0	0	0	1	0	0	0
gene_1009	0	0	0	1	2	1	0	0	0	0	0	0
gene_10090	0	0	0	43	31	6	19	33	34	28	24	32
gene_10091	0	0	0	168	56	56	69	93	204	101	90	150
gene_10092	0	0	0	32	22	8	1	10	17	3	1	13
gene_10093	0	0	0	48	20	27	20	40	52	30	25	49
gene_10094	0	0	0	47	28	26	11	14	41	14	14	20
gene_10095	0	0	0	21	10	20	2	4	9	8	2	15
gene_10096	0	0	0	12	14	11	1	1	3	1	0	7
gene_10097	0	0	0	18	7	6	0	8	2	4	2	2
gene_10098	0	0	0	0	0	0	0	0	0	0	0	0
gene_10099	0	0	0	0	0	0	0	0	0	0	0	1
gene_101	0	0	0	7	1	0	3	3	4	2	1	6
gene_1010	0	0	0	66	32	24	17	33	55	23	24	57
gene_10100	0	0	0	6	3	3	0	1	2	1	1	1
gene_10101	0	0	0	2	0	0	0	0	0	0	0	0
