GeneID	GGABY	GCYUU	GCYUW	GCYUX	GCYUY	GCYUZ	GCYWA	GCYWB	GCYWC	GCYWG	GCUXP
gene_8424	1	0	10	21	28	22	36	20	9	2	15
gene_8425	0	0	0	0	0	0	0	0	0	0	0
gene_8426	0	0	0	0	0	0	0	0	0	0	0
gene_8427	0	0	3	7	7	8	7	8	4	0	5
gene_8428	0	0	0	0	0	1	2	3	0	0	1
gene_8429	0	0	5	12	21	72	69	73	28	20	45
gene_843	0	0	3	2	1	0	1	2	1	0	2
gene_8430	0	0	40	65	85	147	256	335	75	44	140
gene_8431	0	0	0	2	1	0	1	0	0	1	1
gene_8432	0	0	0	0	0	0	0	0	0	0	1
gene_8433	0	0	27	23	77	36	40	44	17	10	27
gene_8434	0	0	21	36	47	45	23	46	23	4	42
gene_8435	0	0	0	0	0	0	0	0	0	0	0
gene_8436	0	0	12	22	41	10	16	22	10	5	13
gene_8437	0	0	3	0	1	1	1	2	0	0	0
gene_8438	0	0	0	0	0	0	0	0	0	0	0
gene_8439	0	0	17	10	37	32	30	37	15	3	20
gene_844	0	0	0	2	3	0	0	0	1	0	2
gene_8440	0	0	7	8	7	8	7	10	6	1	10
gene_8441	0	0	0	0	2	5	1	2	0	0	1
gene_8442	0	0	0	0	0	1	0	1	0	0	0
gene_8443	0	0	0	0	1	7	2	5	2	0	2
gene_8444	0	0	0	1	1	0	3	0	0	0	2
gene_8445	0	0	0	0	0	0	0	0	0	0	0
gene_8446	0	0	2	1	0	1	4	0	0	0	1
gene_8447	0	0	12	27	37	26	29	42	15	3	20
gene_8448	0	0	1	1	1	1	2	8	1	0	2
gene_8449	0	0	6	10	10	4	7	9	4	0	9
gene_845	0	0	10	12	50	51	55	83	38	12	56
gene_8450	0	0	0	0	0	0	0	0	0	0	0
gene_8451	0	0	7	14	24	28	12	17	5	1	14
gene_8452	0	0	0	0	4	1	0	1	0	0	0
gene_8453	0	0	22	37	60	44	48	61	32	13	51
gene_8454	0	0	0	1	0	0	0	2	0	0	0
gene_8455	0	0	0	0	0	0	0	0	0	0	0
gene_8456	0	0	8	14	31	13	33	24	7	2	20
gene_8457	0	0	0	2	3	2	0	1	0	3	5
gene_8458	0	0	8	14	20	13	24	22	7	3	17
gene_8459	0	0	1	3	7	1	7	2	0	0	1
gene_846	0	0	19	26	25	28	11	35	8	5	28
gene_8460	0	0	5	5	12	0	6	9	2	1	6
gene_8461	0	0	41	56	131	35	31	42	13	4	21
gene_8462	0	0	2	8	11	11	7	16	8	1	12
gene_8463	0	0	5	4	9	8	5	15	3	2	8
gene_8464	0	0	10	18	23	21	32	26	6	1	19
gene_8465	0	0	2	2	13	7	2	3	4	3	7
gene_8466	0	0	0	4	12	5	4	8	4	1	6
gene_8467	0	0	0	0	0	0	0	0	0	0	0
gene_8468	0	0	0	0	0	0	0	0	0	0	0
gene_8469	0	0	0	0	0	0	0	0	0	0	0
gene_847	0	0	8	11	17	15	12	19	2	0	15
gene_8470	0	0	1	3	0	1	0	6	1	0	0
gene_8471	0	0	0	1	3	4	3	0	1	0	0
gene_8472	0	0	83	207	220	127	199	249	30	14	76
gene_8473	0	0	1	0	1	0	1	5	0	0	2
gene_8474	0	0	4	0	1	1	0	1	2	0	6
